id,vehicleid,operatorid,balance,active
NAO5ZJA8DZ,FTR866,NAO,5.12,True
NOXFGCAQV,RGYR8Q,NO,19.02,True
NAONSM43D8,EFEMGO,NAO,89.0,True
NOQLL8OS9,CUHPI2,NO,28.86,True
AMNT3W5UZ,1WT3FI,AM,94.43,True
KOWM31YIH,DEYH1G,KO,45.06,True
NAOBMYOFQE,TOPG6C,NAO,85.01,True
MOV86WZS3,466C9U,MO,95.63,True
KOWKTAKPU,HNM17K,KO,56.83,True
OOQ0OXFQ8,22S9ZE,OO,28.5,True
EG7UR23GD,CT8QNC,EG,82.06,True
OOZSJ49IT,6IAJJA,OO,0.68,True
NAOURTP0LZ,EEGE8G,NAO,45.21,True
NAO5UQPGB7,1JHP3R,NAO,92.7,True
NO7PTX63C,3UOMFC,NO,92.56,True
NAOP0J43D5,WHKVHW,NAO,43.32,False
NAOVZ41NAM,ZMLZYD,NAO,14.44,False
MOJCKJLTE,IO95JO,MO,63.42,False
AMLJH75LX,SZA67U,AM,24.76,True
EGIGQPKI7,OHBZ8R,EG,65.9,True
GEX7EEDTJ,LV6T5X,GE,78.16,False
OO7PZE9VI,AU14ER,OO,38.6,True
OO3KKV9RF,NHV8QK,OO,94.05,False
AMH9SDBDW,IISPA9,AM,44.02,True
NAOHL1N13J,WL79TV,NAO,67.43,True
EG9CHJ755,QSEQNM,EG,36.81,True
AMV3A3ZMF,9KN8F7,AM,43.28,False
NOX6GVWRD,20SBI7,NO,2.48,False
NAOLY8OZCY,FBV2RX,NAO,62.12,True
EGRHOCN9J,3MHL6E,EG,97.07,True
AMXAJI0Y6,GS9STU,AM,27.07,True
KOJDP0LVS,5VITU7,KO,8.71,True
NAOHAFEYUH,HLUB1E,NAO,13.66,True
OO1B0Z3NX,CBG9DU,OO,44.46,True
EGVWPVS7H,O1TE4F,EG,46.35,True
EGYTJXEPQ,VT09DX,EG,76.8,True
KONCXLL4Z,HMLON0,KO,43.02,False
NOE1V2ISQ,AZIVQY,NO,37.38,False
NAO09SKDGI,IMJ4Y4,NAO,28.55,True
NORCBPLJD,3Q3TG9,NO,42.11,True
EGUT0CVS4,1LINXZ,EG,3.49,False
AMHJ7XVG0,V4O3P9,AM,40.29,True
GE5A0L725,N91K9V,GE,76.19,True
EGC11ERTJ,7GNVNP,EG,35.59,True
EGF1T2TAL,V2ZKTX,EG,36.03,True
EGSEIMVIH,AJB3MF,EG,6.73,True
KOIXA11DP,9NV02H,KO,16.07,False
GE2IAGL58,XGJXYQ,GE,13.95,False
GEJA1WJ0T,RL5FW3,GE,25.9,True
GEL6246HI,TBFQL9,GE,78.93,True
