license_plate,license_year,type,model,userid
UTBXU1,2015,sedan,EcoSedan,normal0034
RTTIZZ,2015,sedan,EcoSedan,normal0021
ZGLJ6B,2021,sedan,FamilySedan,normal0034
DFOPA2,2023,sedan,EcoSedan,normal0014
QFZV7V,2017,sedan,LuxSedan,normal0016
NBON7A,2020,sedan,LuxSedan,normal0037
25OPBS,2017,sedan,LuxSedan,normal0004
8SZG8L,2016,sedan,FamilySedan,normal0010
LJ0GFY,2021,sedan,EcoSedan,normal0004
BSSK1H,2022,sedan,LuxSedan,normal0007
VLZ9Q4,2022,sedan,LuxSedan,normal0007
0AQP28,2024,sedan,FamilySedan,normal0033
WCKY02,2013,sedan,FamilySedan,normal0038
HMA23V,2011,sedan,EcoSedan,normal0020
KIRVJI,2023,sedan,EcoSedan,normal0036
3AODO4,2020,sedan,LuxSedan,normal0001
OT9VJ6,2014,sedan,LuxSedan,normal0038
BP94RZ,2017,sedan,EcoSedan,normal0037
XYTLSQ,2022,sedan,FamilySedan,normal0030
MTEMJN,2021,sedan,FamilySedan,normal0019
08NB4P,2017,sedan,LuxSedan,normal0009
5IIPVO,2012,sedan,EcoSedan,normal0014
WWO6EB,2025,sedan,EcoSedan,normal0017
0TFETX,2021,sedan,EcoSedan,normal0010
R3CR3I,2012,sedan,EcoSedan,normal0035
B9GIPD,2021,sedan,LuxSedan,normal0039
Q0MC38,2016,sedan,EcoSedan,normal0002
JJ8BKG,2011,sedan,FamilySedan,normal0026
UGGZHS,2015,sedan,EcoSedan,normal0019
ELVC07,2010,sedan,FamilySedan,normal0023
RBI9YU,2012,sedan,EcoSedan,normal0031
XZ7NMK,2017,sedan,LuxSedan,normal0025
P9RFCS,2010,sedan,EcoSedan,normal0015
9DN9CR,2011,sedan,EcoSedan,normal0012
DLNUJS,2010,sedan,EcoSedan,normal0013
VUO6YZ,2025,sedan,FamilySedan,normal0025
VQJDQ4,2019,sedan,LuxSedan,normal0018
XV3RTL,2010,sedan,EcoSedan,normal0020
7FAXP4,2010,sedan,FamilySedan,normal0016
Z6OKO4,2017,sedan,EcoSedan,normal0000
BB2VEM,2015,sedan,FamilySedan,normal0036
7T6YII,2021,sedan,LuxSedan,normal0000
T2X2YY,2014,sedan,LuxSedan,normal0033
B4BA5X,2015,sedan,LuxSedan,normal0032
ICY04D,2024,sedan,EcoSedan,normal0026
7GY271,2019,sedan,LuxSedan,normal0022
YCT9SU,2013,sedan,LuxSedan,normal0024
8P1OR1,2017,sedan,LuxSedan,normal0022
7QY4VY,2020,sedan,LuxSedan,normal0028
RURJ2D,2017,sedan,EcoSedan,normal0018
